AMC CODE|AMC NAME|BSE SCHEME CODE|SCHEME NAME|SCHEME ISIN|SCHEME TYPE|ASTP TRANSACTION MODE|ASTP IN MINIMUM INSTALLMENT AMOUNT|ASTP IN MAXIMUM INSTALLMENT AMOUNT|ASTP IN MULTIPLIER AMOUNT|ASTP OUT MINIMUM INSTALLMENT AMOUNT|ASTP OUT MAXIMUM INSTALLMENT AMOUNT|ASTP OUT MULTIPLIER AMOUNT|ASTP MINIMUM INSTALLMENT UNITS|ASTP MAXIMUM INSTALLMENT UNITS|ASTP MULTIPLIER UNITS|ASTP MINIMUM INSTALLMENT NUMBERS|ASTP MAXIMUM INSTALLMENT NUMBERS|ASTP Reg IN|ASTP Reg OUT|ASTP FREQUENCY|ASTP DATES|ASTP MINIMUM GAP|ASTP MAXIMUM GAP|ASTP INSTALLMENT GAP|ASTP STATUS|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPMIMP-DP|BARODA CONSERVATIVE HYBRID FUND PLAN A MONTHLY DIVIDEND PAYOUT|INF955L01179|DEBT|DP|1000.00|99999999999.00|1.00|1000.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,10,15,25|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXEHQD-DR|AXIS EQUITY HYBRID FUND - REGULAR PLAN QUARTERLY DIVIDEND REINVESTMENT|INF846K01F32|EQUITY|DP|3000.00|999999999.00|1.00|3000.00|999999999.00|1.00|999999.00|999999.00|1.00|2|9999|Y|Y|QUARTERLY|1,7,10,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICIACPDP-DP|ICICI PRUDENTIAL MODERATE FUND - DIVIDEND PAYOUT|INF109K01EB9|FOF|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC2494P-DP|ICICI PRUDENTIAL BANKING AND PSU DEBT FUND - HALF YEARLY DIVIDEND PAYOUT|INF109KA1M70|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BP96DP-DP|BARODA ELSS 96 PLAN A - DIVIDEND PAYOUT|INF955L01641|ELSS|DP|1000.00|99999999999.00|1.00|1000.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|6|9999|Y|Y|MONTHLY|1,10,15,25|0|60|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXCOWD-DR|AXIS CORPORATE DEBT FUND - REGULAR PLAN WEEKLY DIVIDEND REINVESTMENT|INF846K01ZX5|DEBT|DP|3000.00|999999999.00|1.00|3000.00|999999999.00|1.00|999999.00|999999.00|1.00|2|9999|Y|Y|QUARTERLY|1,7,10,15,25|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICIVCPDP-DP|ICICI PRUDENTIAL DEBT MANAGEMENT FUND - DIVIDEND PAYOUT|INF109K01FS0|FOF|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|4|9999|Y|Y|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8699-DR|ICICI PRUDENTIAL CONSTANT MATURITY GILT FUND - DIRECT PLAN - MONTHLY DIVIDEND REINVESTMENT|INF109KA1O86|GILT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|WEEKLY||0|60|1|1|
BARODAMUTUALFUND_MF|BARODA MUTUAL FUND|BPBFGP-GR|BARODA HYBRID EQUITY FUND PLAN A GROWTH|INF955L01708|EQUITY|DP|1500.00|99999999999.00|1.00|1500.00|99999999999.00|1.00|9999999.00|9999999.00|1.00|4|9999|Y|Y|QUARTERLY|1,10,15,25|0|90|1|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXUSDP-DP|AXIS ULTRA SHORT TERM FUND - REGULAR PLAN MONTHLY DIVIDEND PAYOUT|INF846K01G72|DEBT|DP|1000.00|999999999.00|1.00|1000.00|999999999.00|1.00|999999.00|999999.00|1.00|6|9999|Y|Y|MONTHLY|1,7,10,15,25|0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI1545-DR-F|ICICI PRUDENTIAL FLOATING INTEREST FUND - FORTNIGHTLY DIVIDEND REINVESTMENT|INF109K01AZ6|DEBT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|IC8700P-DP|ICICI PRUDENTIAL CONSTANT MATURITY GILT FUND - DIRECT PLAN - QUARTERLY DIVIDEND PAYOUT|INF109KA1O52|GILT|DP|250.00|999999999.00|1.00|250.00|999999999.00|1.00|999999.00|999999.00|999999.00|6|9999|Y|Y|DAILY||0|60|1|1|
