AMC CODE|AMC NAME|BSE SCHEME CODE|SCHEME NAME|SCHEME ISIN|SCHEME TYPE|ASWP TRANSACTION MODE|ASWP MINIMUM INSTALLMENT AMOUNT|ASWP MAXIMUM INSTALLMENT AMOUNT|ASWP MULTIPLIER AMOUNT|ASWP MINIMUM INSTALLMENT UNITS|ASWP MAXIMUM INSTALLMENT UNITS|ASWP MULTIPLIER UNITS|ASWP MINIMUM INSTALLMENT NUMBERS|ASWP MAXIMUM INSTALLMENT NUMBERS|ASWP FREQUENCY|ASWP DATES|ASWP MINIMUM GAP|ASWP MAXIMUM GAP|ASWP INSTALLMENT GAP|ASWP STATUS|
NipponIndiaMutualFund_MF|Nippon India MUTUAL FUND|RMFNFDP-DP-A|RELIANCE INDEX FUND - NIFTY PLAN - ANNUAL DIVIDEND PAYOUT|INF204K01II4|EQUITY|DP|500.0000|999999999.0000|1.0000|1.0000|999999.0000|1.0000|1|9999|MONTHLY|1,8,15,22|0|60|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFTADP-DP-M|AXIS TREASURY ADVANTAGE FUND - RETAIL MONTHLY DIVIDEND - PAYOUT|INF846K01578|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|4|9999|QUARTERLY|1,5,10,15,25|0|90|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDAID3-DR|EDELWEISS DYNAMIC BOND FUND - DIRECT PLAN - ANNUAL DIVIDEND REINVESTMENT|INF843K01CH4|DEBT|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|12|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K143-GR|KOTAK GLOBAL EMERGING MARKET FUND GROWTH|INF174K01DV3|EQUITY|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|QUARTERLY|1,7,14,21,25|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K118DP-DP|KOTAK EQUITY OPPORTUNITIES FUND - DIVIDEND PAYOUT|INF174K01203|EQUITY|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|WEEKLYDATES|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFTARD-DR-D|AXIS TREASURY ADVANTAGE FUND - RETAIL DAILY DIVIDEND - REINVESTMENT|INF846K01487|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|4|9999|QUARTERLY|1,5,10,15,25|0|90|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDEIMD-DP|EDELWEISS EQUITY SAVINGS FUND-DIRECT PLAN MONTHLY DIVIDEND PAYOUT|INF754K01IN8|HYBRID|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|12|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K133-DR|KOTAK EMERGING EQUITY SCHEME - DIVIDEND REINVESTMENT|INF174K01DT7|EQUITY|DP|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|WEEKLYDATES|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K114DP-DP|KOTAK SMALL CAP FUND - DIVIDEND PAYOUT|INF174K01237|EQUITY|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|1.0000|6|9999|QUARTERLY|1,7,14,21,25|0|90|0|1|
ICICIPRUDENTIALMUTUALFUND_MF|ICICI PRUDENTIAL MUTUAL FUND|ICICI22-GR|ICICI PRUDENTIAL LONG TERM BOND FUND - GROWTH|INF109K01365|DEBT|DP|1.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|2|9999|MONTHLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30|0|60|0|1|
EDELWEISSMUTUALFUND_MF|EDELWEISS MUTUAL FUND|EDEIMD-DR|EDELWEISS EQUITY SAVINGS FUND-DIRECT PLAN MONTHLY DIVIDEND REINVESTMENT|INF754K01IO6|HYBRID|DP|500.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|6|9999|QUARTERLY|1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28|0|90|0|1|
AXISMUTUALFUND_MF|AXIS MUTUAL FUND|AXFHYDDB-DP|AXIS DYNAMIC BOND FUND - HALF YEARLY DIVIDEND - PAYOUT|INF846K01941|DEBT|DP|1000.0000|999999999.0000|1.0000|999999.0000|999999.0000|999999.0000|4|9999|QUARTERLY|1,5,10,15,25|0|90|0|1|
KOTAKMAHINDRAMF|KOTAK MAHINDRA MUTUAL FUND|K133DP-DP|KOTAK EQUITY ARBITRAGE FUND - REGULAR PLAN - MONTHLY DIVIDEND PAYOUT|INF174K01328|EQUITY|D|1000.0000|999999999.0000|1.0000|0.0010|999999.0000|0.0010|6|9999|WEEKLYDAYS|MON,TUE,WED,THU,FRI|0|60|0|1|
