Sr. No.,Field Name,Data Type,Field Length,Remarks,Mandatory,Condition,
1,Client Code (UCC),char,10,,Mandatory,,
2,Primary Holder First Name,char,70,,Mandatory,,
3,Primary Holder Middle Name,,,,Optional,,
4,Primary Holder Last Name,,,,Optional,,
5,Tax Status,char,2,,Mandatory,Refer Tax Status,
6,Gender,char,1,M/F/O,Conditional Mandatory,"Mandatory for Individual , NRI and Minor clients",
7,Primary Holder DOB/Incorporation,Date,10,DD/MM/YYYY,Mandatory,,
8,Occupation Code,char,2,01/02/03/04 /05/06/07/08,Mandatory,Refer Occupation Code,
9,Holding Nature,char,2,SI/ JO/ AS,Mandatory,Refer Holding,
10,Second Holder First Name,char,70,,Conditional Mandatory,Mandatory if Mode of Holding JO/AS,
11,Second Holder Middle Name,,,,Optional,,
12,Second Holder Last Name,,,,Conditional Mandatory,Mandatory if Mode of Holding JO/AS,
13,Third Holder First Name,char,70,,Optional,,
14,Third Holder Middle Name,char,,,Optional,,
15,Third Holder Last Name,char,,,Optional,Mandatory if Third Holder First Name mentioned,
16,Second Holder DOB,,10,DD/MM/YYYY,Conditional Mandatory,Mandatory if Mode of Holding JO/AS,
17,Third Holder DOB,Date,10,DD/MM/YYYY,Conditional Mandatory,Mandatory if Third holder available in UCC,
18,Guardian First Name,char,120,,Conditional Mandatory,Mandatory for new folio creation with Minor investment,
19,Guardian Middle Name,char,,,Conditional Mandatory,Mandatory for new folio creation with Minor investment,
20,Guardian Last Name,char,,,Conditional Mandatory,Mandatory for new folio creation with Minor investment,
21,Guardian DOB,Date,10,DD/MM/YYYY,Optional,Mandatory for Minor Clients DD/MM/YYYY,
22,Primary Holder PAN Exempt,Varchar,1,,Mandatory,,
23,Second Holder PAN Exempt,Varchar,1,,Mandatory,"Mandatory in Case of Joint Holding/Anyone or Survivor, and if Second Holder name mentioned",
24,Third Holder PAN Exempt,Varchar,1,,Mandatory,Mandatory if Third Holder Name mentioned,
25,Guardian PAN Exempt,Varchar,1,,Conditional Mandatory,"Conditional M ""Y/N"" (if Tax Status is RI Minor/NRI Minor/NRO Minor & Guardian name)",
26,Primary Holder PAN,char,10,,Conditional Mandatory,"Mandatory if Primary Holder PAN Exempt flag N. Refer PAN Validation
",
27,Second Holder PAN,char,10,,Conditional Mandatory,"Mandatory if Second Holder PAN Exempt flag N. Refer PAN Validation

Mandatory if Second Holder name is provided",
28,Third Holder PAN,char,10,,Conditional Mandatory,"Mandatory if Third PAN Exempt flag N. Refer PAN Validation

Mandatory if Third Holder name is provided",
29,Guardian PAN,char,10,,Conditional Mandatory,This is applicable for Minor through Guardian ; Mandatory when Guardian Name is provided,
30,Primary Holder-Exempt Category,Varchar,2,,Conditional Mandatory,Mandatory if PRIMARY Holder PAN Exempt flag Y. Refer PAN Exempt Category,
31,Second Holder Exempt Category,Varchar,2,,Conditional Mandatory,Mandatory if SECOND HOLDER PAN Exempt flag Y. Refer PAN Exempt Category,
32,Third Holder Exempt Category,Varchar,2,,Conditional Mandatory,Mandatory if THIRD HOLDER PAN Exempt flag Y. Refer PAN Exempt Category,
33,Guardian Exempt Category,Varchar,2,,Conditional Mandatory,Mandatory if Guardian PAN Exempt flag Y. Refer PAN Exempt Category,
34,Client Type,Varchar,1,D/P,Mandatory,,
35,PMS,CHAR,1,Y/N,Optional,,
36,Default DP,char,4,CDSL/NSDL,Conditional Mandatory,Mandatory if client type D,
37,CDSL DPID,char,8,,Conditional Mandatory,Mandatory if Default DP if CDSL,
38,CDSLCLTID,char,16,,Conditional Mandatory,Mandatory if Default DP if CDSL,
39,CMBP Id,Numeric ,16,,Conditional Mandatory,Mandatory if PMS Flag 'Y' and Client Default DP is NSDL,
40,NSDLDPID,char,8,,Conditional Mandatory,Mandatory if Default DP if NSDL,
41,NSDLCLTID,char,8,,Conditional Mandatory,Mandatory if Default DP if NSDL,
42,Account Type 1,varchar,2,SB/CB/NE/NO,Mandatory,Refer Account Type,
43,Account No 1,varchar,40,,Mandatory,,
44,MICR No 1,varchar,9,,Optional,,
45,IFSC Code 1,varchar,11,,Mandatory,,
46,Default Bank Flag,varchar,1,Y/N,Mandatory,,
47,Account Type 2,varchar,2,SB/CB/NE/NO,Optional,,
48,Account No 2,varchar,40,,Conditional Mandatory,Mandatory if Client Acctype 2 is available,
49, MICR No 2,varchar,9,,Optional,,
50,IFSC Code 2,varchar,11,,Conditional Mandatory,Mandatory if Client Acctype 2 is available,
51,Default Bank Flag,varchar,1,Y/N,Conditional Mandatory,Mandatory if Client Acctype 2 is available,
52, Account type 3,varchar,2,SB/CB/NE/NO,Optional,,
53,Account No 3,varchar,40,,Conditional Mandatory,Mandatory if Client Acctype 3 is available,
54,MICR No 3,varchar,9,,Optional,,
55,IFSC Code 3,varchar,11,,Conditional Mandatory,Mandatory if Client Acctype 3 is available,
56,Default Bank Flag,varchar,1,Y/N,Conditional Mandatory,Mandatory if Client Acctype 3 is available,
57, Account type 4,varchar,2,SB/CB/NE/NO,Optional,,
58,Account No 4,varchar,40,,Conditional Mandatory,Mandatory if Client Acctype 4 is available,
